Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,Supplier,Sim.Device,Sim.Pins
1,Unpolarized capacitor,C,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12,100nF,C_Disc_D3.0mm_W1.6mm_P2.50mm,12, ,https://www.vishay.com/docs/45171/kseries.pdf,https://www.digikey.ch/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K20X7RH5TL2/286568,,
2,"100V 0.15A standard switching diode, DO-35",1N4148,D11,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,1, ,https://www.onsemi.com/download/data-sheet/pdf/1n914-d.pdf,https://www.digikey.ch/en/products/detail/onsemi/1N4148/458603,D,1=K 2=A
3,"RGB LED with integrated controller, 5mm/8mm LED package",NeoPixel_THT,D1 D2 D3 D4 D5 D6 D7 D8 D9 D10,NEOPIX,LED_D5.0mm-NeoPixel,10, ,https://cdn.sparkfun.com/datasheets/Components/LED/COM-12877.pdf,https://www.digikey.ch/de/products/detail/sparkfun-electronics/COM-12986/5673799,,
4,"M Series, 6.35mm (1/4in) stereo jack, switched, with chrome ferrule and straight PCB pins",NMJ6HCD2,J3 J9 J10 J11 J12,EXP,Jack_6.35mm_Horizontal,5, ,https://www.digikey.ch/de/products/detail/schurter-inc/4833-2320/2644235,https://www.digikey.ch/de/products/detail/schurter-inc/4833-2320/2644235,,
5,expansion header for Raspberry Pi 2 & 3,Raspberry_Pi_2_3,J8,HiFi Berry,HiFi Berry DAC ADC+,1, ,https://www.hifiberry.com/docs/data-sheets/datasheet-dac-adc-pro/,https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/61304021821/16608657,,
6,"Generic connector, double row, 02x03, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x03_Top_Bottom,J15,MIDI IN/OUT,PinHeader_2x03_P2.54mm_Horizontal,1, ,https://www.we-online.com/components/products/datasheet/6130xx21021.pdf,https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/61300621021/4846834,,
7,"Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)",AudioJack3_SwitchTR,J16 J17,MIDI OUT J,Jack_3.5mm_CUI_SJ1-3525N_Horizontal,2, ,https://www.cuidevices.com/product/resource/sj1-352xng.pdf,https://www.digikey.ch/de/products/detail/cui-devices/SJ1-3525NG/738690,,
8,5-pin DIN connector (5-pin DIN-5 stereo),DIN-5_180degree,J1 J2,MIDI_OUT,CP-2350,2, ,https://www.switchcraft.com/assets/1/24/57PC5F_CD.pdf?5023,https://www.digikey.ch/de/products/detail/switchcraft-inc/57PC5F/275385,,
9,"Generic connector, single row, 01x02, script generated",Conn_01x02_Pin,J5,Pico USB TP,Spring_Loaded_Pins_2mm,1, ,https://media.digikey.com/pdf/Data%20Sheets/Mill%20Max%20PDFs/Spring%20Loaded%20Connectors.pdf,https://www.digikey.ch/de/products/detail/mill-max-manufacturing-corp/0906-0-15-20-76-14-11-0/1147048,,
10,"Generic connector, single row, 01x03, script generated",Conn_01x03_Pin,J4,RGB_LED_EXT,PinHeader_1x03_P2.54mm_Horizontal,1, ,https://www.we-online.com/components/products/datasheet/6130xx11021.pdf,https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/61300311021/4846824,,
