Row	Description	Part	References	Value	Footprint	Quantity Per PCB	Status	Datasheet	Field5	Field4	Field6	Field7	Part Description	Field8	Supplier	Notes	Digikey	Mouser
1	Unpolarized capacitor, small symbol	C_Small	C7 C18	27p	C_0805_2012Metric	2	 	https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdf							https://www.digikey.ch/de/products/detail/samsung-electro-mechanics/CL21C270JCANNNC/3888280	50V/5%		
2	Unpolarized capacitor	C	C41 C43	1n	C_0805_2012Metric	2	 		2666374	Farnell	GRM1555C1H221JA01D	Murata	220 pF, 50 V, 0402 [1005 Metric], ± 5%, C0G / NP0/CH, GCM Series					
3	Unpolarized capacitor	C	C42	1.2n	C_0805_2012Metric	1	 	http://www.farnell.com/datasheets/2734135.pdf?_ga=2.259347658.1738794919.1588350964-1787849031.1568210898&_gac=1.15394434.1588350964.EAIaIQobChMIgrHHs4yT6QIVxevtCh39TA_nEAAYASAAEgK8PfD_BwE	490-16429-1-ND	Digikey	GCM155R71H122KA37D	Murata	1200pF 10% 10V Ceramic Capacitor X5R 0402 (1005 Metric)					
4	Unpolarized capacitor, small symbol	C_Small	C1 C5 C6 C8 C9 C10 C11 C14 C15 C16 C17 C20 C21 C22 C39 C40	100n	C_0805_2012Metric	16	 	https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdf	2611911	Farnell	RM EMK105 B7104KV-F	TAIYO YUDEN EUROPE GMBH	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)	110091611	https://www.digikey.ch/de/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661	50V/10%	1276-1180-1-ND	581-08055C104K
5	Unpolarized capacitor, small symbol	C_Small	C12 C13	1u	C_0805_2012Metric	2	 	https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdf							https://www.digikey.ch/de/products/detail/samsung-electro-mechanics/CL21B105KAFNNNE/3886724	25V/10%		
6	Unpolarized capacitor	C	C2 C3 C19 C23 C28 C33 C34 C35 C36 C37 C38 C44 C45 C46 C47	10u 35v	C_0805_2012Metric	15	 	https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23	490-10505-1-ND 490-14381-1-ND	Digikey	GRM21BC8YA106KE11L GRM21BR71A106KA73L	Murata	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric) 10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)	111893011	https://www.digikey.ch/de/products/detail/samsung-electro-mechanics/CL21A226MAYNNNE/10479857	25V/20%		
7	Polarized capacitor	CP	C48	100u	CP_EIA-7343-31_Kemet-D	1	 	~	667-EEF-CX0J101R	Mouser			Capacitor, SP-Cap, 100u, 6.3V, 15mR ESR					
8		CM4	CM1	CM4	Raspberry-Pi-4-Compute-Module	1	 	https://www.hirose.com/en/product/document?clcode=&productname=&series=DF40&documenttype=Catalog&lang=en&documentid=en_DF40_CAT							https://www.digikey.ch/de/products/detail/hirose-electric-co-ltd/DF40C-100DS-0-4V-51/1969476	DF40C-100DS-0.4V(51)		
9	Light emitting diode	LED	D10	LED R	LED_0805_2012Metric	1	 	~										
10	Light emitting diode	LED	D9	LED Y	LED_0805_2012Metric	1	 	~										
11	RGB LED with integrated controller	SK6812	D2 D3 D4 D7	SK6812	LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm	4	 	https://cdn-shop.adafruit.com/product-files/1138/SK6812+LED+datasheet+.pdf							https://www.digikey.ch/de/products/detail/adafruit-industries-llc/1655/5154679			
12	100V 0.15A standard switching diode, DO-35	1N4148	D1	SM4007	D_SOD-123F	1	 	https://www.mccsemi.com/pdf/Products/SM4001PL-SM4007PL(SOD-123FL).PDF							https://www.digikey.ch/de/products/detail/micro-commercial-co/SM4007PL-TP/1793250			
