Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0805_2012Metric",59.7944,98.7944,270.0000,top
"C2","10u","C_0805_2012Metric",146.8244,100.2644,180.0000,top
"C3","10u","C_0805_2012Metric",143.2244,97.2644,0.0000,top
"C4","10u","C_0805_2012Metric",146.1644,106.9644,90.0000,top
"C5","10u","C_0805_2012Metric",139.7844,93.3244,180.0000,top
"C6","10u","C_0805_2012Metric",139.8144,97.2644,180.0000,top
"C7","10u","C_0805_2012Metric",143.1944,93.3144,0.0000,top
"C8","10u","C_0805_2012Metric",136.4144,101.3244,90.0000,top
"C9","10u","C_0805_2012Metric",139.7944,95.3044,180.0000,top
"C10","10u","C_0805_2012Metric",143.2044,95.2844,0.0000,top
"C11","18p","C_0805_2012Metric",45.9544,84.6344,90.0000,top
"C12","1u","C_0805_2012Metric",82.7244,88.4644,180.0000,top
"C13","100n","C_0805_2012Metric",90.7344,91.5344,0.0000,top
"C14","1u","C_0805_2012Metric",84.1944,90.4944,180.0000,top
"C15","100n","C_0805_2012Metric",76.8819,77.1444,180.0000,top
"C16","100n","C_0805_2012Metric",95.1944,83.2944,270.0000,top
"C17","100n","C_0805_2012Metric",84.1844,92.4544,180.0000,top
"C18","100n","C_0805_2012Metric",76.8444,81.1944,180.0000,top
"C19","100n","C_0805_2012Metric",85.3444,78.2944,270.0000,top
"C20","100n","C_0805_2012Metric",90.6344,78.1944,270.0000,top
"C21","100n","C_0805_2012Metric",81.4344,91.1444,90.0000,top
"C22","15p","C_0805_2012Metric",95.1944,79.6067,180.0000,top
"C23","100n","C_0805_2012Metric",97.7444,86.7244,0.0000,top
"C24","10u","C_0805_2012Metric",103.8044,81.5744,180.0000,top
"C25","18p","C_0805_2012Metric",45.9544,81.2344,270.0000,top
"C26","15p","C_0805_2012Metric",99.3944,82.2944,90.0000,top
"C27","10u","C_0805_2012Metric",107.2244,81.5444,180.0000,top
"C28","10u","C_0805_2012Metric",138.6444,77.7744,90.0000,top
"C29","1n","C_0805_2012Metric",137.8344,83.8344,90.0000,top
"C30","100n","C_0805_2012Metric",145.2044,90.2744,90.0000,top
"C31","1.2n","C_0805_2012Metric",142.6644,81.1744,90.0000,top
"C32","10u","C_0805_2012Metric",142.6144,77.7744,90.0000,top
"C33","100u","CP_EIA-7343-31_Kemet-D",135.2644,75.8644,270.0000,top
"C34","1n","C_0805_2012Metric",141.6344,83.8844,0.0000,top
"C35","100n","C_0805_2012Metric",137.8344,90.6244,270.0000,top
"C36","10u","C_0805_2012Metric",140.6244,77.7644,90.0000,top
"C37","10u","C_0805_2012Metric",151.1244,77.2644,90.0000,top
"C38","10u","C_0805_2012Metric",14.1544,101.8044,270.0000,top
"C39","10u","C_0805_2012Metric",11.6544,108.7544,90.0000,top
"C40","10u","C_0805_2012Metric",13.6144,108.7544,90.0000,top
"C41","10u","C_0805_2012Metric",15.5744,108.7544,90.0000,top
"C42","10u","C_0805_2012Metric",17.5344,108.7544,90.0000,top
"C43","100u","CP_EIA-7343-31_Kemet-D",8.3944,102.4944,0.0000,top
"C44","10u","C_0805_2012Metric",31.9744,90.7344,90.0000,top
"C45","10u","C_0805_2012Metric",40.2344,87.0044,0.0000,top
"C46","100n","C_0805_2012Metric",33.5144,70.6944,180.0000,top
"C47","100n","C_0805_2012Metric",37.0244,79.5544,270.0000,top
"C48","100n","C_0805_2012Metric",29.0044,88.0344,90.0000,top
"C49","100n","C_0805_2012Metric",29.0044,83.2544,270.0000,top
