Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",30.0944,104.8944,180.0000,top
"C2","100n","C_0805_2012Metric",45.0444,84.0444,-90.0000,top
"C3","100n","C_0805_2012Metric",69.9944,84.0444,-90.0000,top
"C4","100n","C_0805_2012Metric",95.0444,84.0444,-90.0000,top
"C5","100n","C_0805_2012Metric",124.3944,86.7444,0.0000,top
"C6","22u","C_0805_2012Metric",140.1944,104.3944,180.0000,top
"C7","10n","C_0805_2012Metric",140.4944,86.5944,180.0000,top
"C8","10n","C_0805_2012Metric",136.3944,86.5944,0.0000,top
"C9","2n2","C_0805_2012Metric",139.3381,76.2506,90.0000,top
"C10","22p","C_0805_2012Metric",137.2381,76.2506,90.0000,top
"C11","100n","C_0805_2012Metric",142.4944,80.5944,-90.0000,top
"C12","22u","C_0805_2012Metric",149.8944,74.7944,-90.0000,top
"C13","270u","CP_Elec_10x10",143.5619,92.9944,0.0000,top
"C14","22u","C_0805_2012Metric",151.8944,74.7944,-90.0000,top
"C15","22u","C_0805_2012Metric",139.5944,70.7944,-90.0000,top
"C16","22u","C_0805_2012Metric",137.5944,70.7944,-90.0000,top
"C20","22u","C_0805_2012Metric",140.1944,106.4944,180.0000,top
"CM4","ComputeModule4-CM4","Raspberry-Pi-4-Compute-Module",70.9944,67.4944,180.0000,top
"D1","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",49.4944,82.9944,0.0000,top
"D2","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",74.4944,82.9944,0.0000,top
"D3","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",99.4944,82.9944,0.0000,top
"D4","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",124.4944,82.9944,0.0000,top
"D5","LED Y","LED_0805_2012Metric",31.4944,60.9944,180.0000,top
"D6","LED G","LED_0805_2012Metric",31.4944,62.9944,180.0000,top
"D7","SS34HF","D_SMA",145.3944,82.3944,90.0000,top
"D11","SM4007","D_SOD-123F",26.5944,98.5944,-90.0000,top
"D13","SS34HF","D_SMA",115.6444,81.6944,-90.0000,top
"F1","Polyfuse 1.8A","Fuse_1812_4532Metric",151.6944,102.2444,180.0000,top
"FID1","Fiducial","Fiducial_1.5mm_Mask3mm",6.9944,107.9944,0.0000,top
"FID2","Fiducial","Fiducial_1.5mm_Mask3mm",166.9944,2.9944,0.0000,top
"H12","Midi Bites","MIDI bites",87.0944,110.9194,0.0000,top
"J1","MIDI_OUT","CP-2350",101.9944,108.9944,180.0000,top
"J2","MIDI_IN","CP-2350",71.9944,108.9944,180.0000,top
"J3","EXP1","Jack_6.35mm_Horizontal",157.6094,97.1944,0.0000,top
"J6","Debug","PinHeader_1x03_P2.54mm_Vertical",89.2194,49.6944,-90.0000,top
"J9","Audio IN Right","Jack_6.35mm_Horizontal",157.5944,56.2144,0.0000,top
"J10","Audio IN Left","Jack_6.35mm_Horizontal",157.5944,35.9994,0.0000,top
"J11","Audio OUT Right","Jack_6.35mm_Horizontal",16.3944,39.9944,180.0000,top
"J12","Audio OUT Left","Jack_6.35mm_Horizontal",16.3944,19.7944,180.0000,top
"J13","Barrel_Jack_MountingPin","BarrelJack_Wuerth_6941xx301002",161.3944,100.5944,180.0000,top
"J15","EXP2","Jack_6.35mm_Horizontal",16.3944,80.9944,180.0000,top
"J18","LED-Ring","Led-Ring",160.9944,74.9944,0.0000,top
"J19","LED-Ring","Led-Ring",162.9944,0.9944,180.0000,top
"J20","LED-Ring","Led-Ring",85.9944,22.9944,0.0000,top
"J21","LED-Ring","Led-Ring",87.9944,52.9944,180.0000,top
"J22","LED-Ring","Led-Ring",10.9944,74.9944,0.0000,top
